Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PER,810137.625,866464.75,943863.5625,1022427.1875,1101532.125,1188474.375,1266208.25,1351102.375,1407059.125,1466834.875
PHL,1961290.125,2108260.75,2111940.75,2118068.25,2138567.0,2206549.0,2293114.25,2361578.25,2562217.75,2753356.0
POL,2252855.25,2357119.75,2480005.75,2569084.5,2673441.25,2824923.0,2944387.25,2954101.5,3046456.5,3148161.0
PRT,2367201.75,2354295.75,2471046.5,2588537.25,2739387.5,2708540.25,2950568.5,2874240.0,2886604.75,2913985.25
PRY,255069.21875,270300.0,266756.25,264593.375,262844.0625,266320.09375,266002.75,268069.875,278483.75,288482.90625
QAT,666916.6875,803338.1875,934266.1875,1053231.875,997294.625,1066946.25,1250711.25,1368876.375,1497159.625,1627417.25
ROU,1396356.5,1653618.125,1796223.5,1718680.75,1655918.375,1632861.375,1594981.875,1696858.625,1732949.75,1805810.125
RUS,14651546.0,14850185.0,15563808.0,16298533.0,17092118.0,18390230.0,18726002.0,19270074.0,19335736.0,19423886.0
RWA,26238.962890625,28498.71875,29684.408203125,32156.82421875,33860.67578125,34737.40234375,41274.7734375,42799.13671875,46138.53125,50998.0703125
SAU,3861117.25,4363696.5,4601948.5,5009194.5,5103766.0,5953650.0,6480304.5,6659209.0,6867913.5,7093384.5
SDN,617112.25,797808.125,492063.5625,451944.4375,400356.125,326759.75,237858.546875,310792.8125,313701.15625,317575.8125
SEN,139264.078125,146880.84375,147832.171875,135345.125,135238.015625,137906.328125,136900.25,142157.015625,151695.59375,161783.921875
SGP,1624696.0,1737728.5,1796339.75,1867905.875,1924312.625,1976148.75,1999486.375,2027498.0,2090310.625,2148978.0
SLE,19438.228515625,23111.419921875,22736.818359375,17569.056640625,16129.2529296875,18948.3125,19388.9375,17063.455078125,16984.845703125,16960.162109375
SLV,92151.8359375,108011.953125,122390.1171875,131115.203125,142051.71875,151442.171875,166433.375,182906.453125,188539.5625,195583.4375
SRB,620589.1875,632378.0625,623443.0,661529.1875,652138.25,568245.6875,614735.0625,609360.0,613213.4375,621227.6875
STP,416.84710693359375,412.7615966796875,4813.8994140625,4032.0078125,6154.4892578125,4870.2216796875,4127.3544921875,3835.266357421875,3822.662109375,3792.67626953125
SUR,46661.13671875,49890.265625,51129.359375,52392.81640625,54132.6484375,56398.2734375,57531.77734375,63196.59765625,63465.09375,63765.5546875
SVK,557856.5,584258.375,627144.5625,651014.9375,724223.0625,719076.1875,743381.3125,752177.3125,763242.5625,777340.3125
SVN,350882.90625,366662.5,425718.625,453743.03125,448670.125,459790.3125,486670.875,487921.96875,490060.0625,493944.84375
SWE,2103405.5,2151252.25,2295762.0,2497897.0,2481393.75,2525695.5,2619055.5,2688589.75,2716572.75,2743785.0
