Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
LVA,1926568,1933995,1945956,1961660,1980396,2001570,2024678,2049313,2075181,2102010,2129584,2157660,2185873,2213805,2240947,2266938,2291471,2314506,2336318,2357389,2378022,2398380,2418280,2437180,2454397,2469439,2482197,2492984,2502518,2511735,2521381,2531016,2540444,2550932,2564118,2580763,2602152,2626906,2649835,2663943,2664447,2649161,2620254,2582658,2543632,2508476,2478832,2453310,2430546,2408088,2384150,2358689,2332528,2305845,2278922,2251996,2225063,2198089,2171248,2144784,2118855,2093606,2069018,2044950,2021220,1997675,1974265,1951097,1928461,1906740,1886202,1866934,1848834,1831650,1815001,1798634,1782474,1766561,1750867,1735397,1720156,1705094,1690194,1675548,1661240,1647332,1633857,1620789,1608100,1595756,1583723,1571992,1560551,1549419,1538613,1528093,1517884,1507945,1498224,1488652,1479176,1469770,1460427,1451105,1441758,1432358,1422891,1413349,1403746,1394078,1384395,1374664,1364931,1355199,1345534,1335981,1326551,1317250,1308106,1299159,1290426,1281922,1273648,1265640,1257914,1250476,1243342,1236504,1229934,1223621,1217518,1211626,1205939,1200420,1195037,1189739,1184527,1179387,1174314,1169303,1164351,1159454,1154588,1149734,1144861,1139961,1134991,1129963,1124862,1119673,1114401
MAC,196473,200490,201268,199292,195133,189458,183034,176752,171525,168283,167795,170466,176188,184245,193556,203224,213189,223416,233002,240837,246193,248745,248770,246945,244289,241631,239074,236669,235175,235440,238085,243373,251154,260921,271914,283490,295597,308181,320774,332783,343816,353623,362308,370195,377805,385517,393376,401353,409620,418388,427772,437928,448813,460157,471600,482863,493804,504504,515232,526401,538215,550833,564037,577368,590210,602093,612824,622578,631633,640446,649342,658391,667492,676537,685379,693895,702067,709945,717530,724843,731876,738638,745137,751399,757453,763343,769089,774675,780128,785474,790725,795878,800949,805935,810849,815662,820393,825049,829611,834047,838377,842567,846642,850596,854424,858130,861724,865199,868574,871853,875044,878143,881150,884100,887033,889907,892779,895634,898479,901308,904108,906904,909664,912444,915197,917968,920748,923563,926375,929178,931970,934741,937515,940342,943233,946238,949357,952600,956004,959597,963394,967412,971634,976067,980685,985481,990436,995531,1000773,1006139,1011617
MAF,2999,3113,3192,3263,3332,3408,3489,3592,3693,3798,3898,3996,4078,4179,4302,4471,4675,4922,5194,5461,5707,5945,6156,6370,6601,6882,7250,7713,8191,8557,8777,8675,8372,8296,9067,11066,14561,19274,24374,28723,31522,32441,31816,30194,28482,27320,26854,26910,27388,28122,28935,29847,30913,32055,33187,34252,35240,36138,36880,37380,37582,37451,37012,36458,36018,35865,36061,36569,37264,38002,38659,39239,39732,40182,40624,41068,41517,41959,42396,42835,43261,43703,44133,44567,45001,45426,45848,46259,46655,47056,47445,47828,48196,48557,48917,49259,49592,49912,50229,50532,50821,51104,51374,51633,51878,52120,52346,52572,52781,52989,53199,53409,53612,53819,54026,54233,54440,54652,54863,55077,55281,55502,55723,55940,56152,56382,56600,56813,57036,57249,57462,57666,57864,58051,58239,58413,58594,58756,58920,59060,59212,59342,59472,59593,59708,59805,59909,59989,60058,60136,60194
MAR,8985986,9243410,9528979,9837075,10162948,10502658,10853173,11212230,11578378,11950747,12328532,12710587,13094890,13478425,13857656,14230163,14595351,14954037,15307267,15656846,16004732,16350883,16696890,17048525,17413149,17796171,18198836,18620087,19059773,19516942,19990006,20479709,20984023,21495088,22002641,22499111,22980334,23447256,23903592,24355624,24807461,25260407,25711410,26155204,26584473,26994255,27383472,27754573,28110447,28455504,28793672,29126323,29454765,29782884,30115196,30455563,30804689,31163670,31536807,31929087,32343384,32781860,33241898,33715705,34192358,34663608,35126274,35581257,36029089,36471766,36910558,37344787,37772757,38193551,38606160,39009791,39403939,39788519,40163701,40529850,40887291,41235942,41575621,41906349,42228200,42541202,42845370,43140682,43427108,43704624,43973175,44232771,44483383,44725047,44957761,45181536,45396355,45602185,45798986,45986769,46165497,46335151,46495680,46646959,46788882,46921334,47044275,47157694,47261535,47355746,47440302,47515220,47580543,47636237,47682267,47718665,47745519,47762990,47771255,47770516,47761001,47742916,47716507,47682136,47640226,47591187,47535268,47472752,47404061,47329601,47249767,47164766,47074802,46980227,46881434,46778678,46672137,46561798,46447498,46328911,46205798,46078010,45945527,45808363,45666549,45519994,45368567,45212024,45050028,44882147,44707864
MCO,20000,19384,19082,19049,19261,19653,20186,20788,21405,21978,22461,22813,23043,23165,23236,23289,23302,23292,23295,23348,23487,23721,24049,24445,24829,25203,25523,25811,26090,26391,26752,27162,27633,28091,28511,28836,29050,29156,29232,29309,29433,29629,29859,30145,30436,30731,31001,31268,31554,31836,32148,32473,32804,33144,33499,33842,34189,34524,34860,35223,35609,36025,36459,36899,37320,37723,38070,38392,38682,38967,39244,39520,39778,40042,40303,40553,40807,41049,41301,41540,41771,42015,42248,42476,42712,42941,43159,43371,43570,43771,43973,44175,44361,44558,44745,44946,45145,45354,45561,45780,45999,46236,46476,46736,47002,47273,47557,47841,48142,48450,48758,49073,49397,49713,50044,50373,50714,51052,51387,51742,52093,52460,52825,53193,53567,53944,54326,54717,55110,55505,55905,56301,56694,57105,57513,57933,58348,58764,59189,59621,60041,60478,60906,61340,61778,62216,62647,63079,63512,63935,64364
MDA,2341009,2381300,2431886,2490865,2556459,2627008,2700981,2776930,2853571,2929739,3004446,3076893,3146547,3213083,3276431,3336593,3393047,3445836,3496129,3545651,3595549,3646571,3698230,3749013,3796768,3840046,3878102,3911809,3943330,3975722,4011085,4049874,4091132,4133729,4175932,4216244,4254526,4290484,4322338,4347870,4365562,4375053,4376804,4371155,4358790,4340602,4316225,4286477,4254835,4225835,4202659,4187096,4178228,4173276,4167962,4159296,4146264,4130129,4112886,4097515,4086090,4079167,4075804,4074585,4073407,4070705,4066013,4059687,4051950,4043258,4033963,4024025,4013178,4001345,3988406,3974258,3958894,3942344,3924631,3905798,3885900,3864952,3842988,3820107,3796402,3771969,3746861,3721115,3694852,3668186,3641189,3613936,3586456,3558767,3530884,3502821,3474591,3446220,3417701,3389024,3360176,3331161,3301964,3272578,3242940,3213025,3182835,3152382,3121603,3090501,3059032,3027219,2995072,2962647,2929968,2897082,2864031,2830868,2797683,2764541,2731568,2698791,2666283,2634154,2602512,2571442,2541001,2511235,2482178,2453928,2426470,2399866,2374089,2349165,2325002,2301608,2278961,2257023,2235756,2215053,2194891,2175180,2155901,2137023,2118484,2100265,2082300,2064518,2046872,2029245,2011568
MDG,4083548,4168388,4256761,4348724,4444287,4543540,4646579,4753531,4864520,4979746,5099368,5223561,5352497,5486319,5625164,5769215,5918592,6073529,6234468,6401920,6576305,6757853,6946619,7142634,7345773,7556032,7773452,7998157,8230214,8469677,8716549,8971339,9234137,9504283,9780869,10063493,10352117,10647753,10952396,11268653,11598647,11942809,12301338,12675469,13066544,13475403,13902697,14347860,14808791,15282524,15766806,16260933,16765122,17279139,17802992,18336722,18880265,19433520,19996476,20569115,21151640,21743970,22346641,22961259,23589897,24234080,24894370,25570511,26262313,26969306,27691019,28427333,29178075,29942591,30720117,31509837,32311424,33124447,33947957,34780866,35622312,36471756,37329010,38194092,39067246,39948585,40837955,41735058,42639747,43551894,44471369,45397908,46331397,47271942,48219791,49174964,50137291,51106346,52081599,53062409,54048131,55038414,56032796,57030608,58031039,59033380,60037134,61041881,62047283,63053042,64058826,65064230,66068823,67072274,68074242,69074428,70072382,71067752,72060250,73049591,74035474,75017577,75995411,76968395,77935866,78897227,79852055,80800017,81740666,82673596,83598400,84514681,85422117,86320593,87210099,88090484,88961544,89822875,90673985,91514308,92343356,93160773,93966289,94759758,95540994,96309813,97065983,97809197,98539114,99255315,99957340
MDV,73716,74220,75190,76485,78015,79704,81511,83418,85431,87587,89873,92328,94902,97540,100177,102710,105129,107481,109893,112582,115688,119303,123347,127700,132102,136418,140563,144625,148774,153276,158271,163821,169849,176255,182848,189540,196262,203024,209787,216502,223159,229743,236271,242596,248582,254144,259178,263836,268445,273522,279396,286309,294185,302681,311265,319604,327489,335172,343448,353391,365730,380493,397231,415592,435018,454914,475505,496398,515703,530957,540542,543620,540985,534669,527652,522123,518721,517003,516828,517722,519347,521822,525331,529525,533925,538161,542116,545802,549308,552782,556282,559805,563291,566692,569987,573130,576113,578926,581537,583939,586102,588001,589652,591038,592148,593001,593586,593892,593946,593745,593310,592660,591799,590704,589415,587948,586293,584472,582478,580323,578014,575548,572944,570210,567354,564383,561300,558115,554851,551511,548102,544667,541173,537688,534204,530757,527363,524034,520783,517640,514606,511693,508904,506238,503674,501213,498850,496553,494328,492176,490058
MEX,27944671,28749849,29590077,30468850,31388572,32350593,33355184,34401536,35487956,36612111,37771861,38966049,40195318,41462373,42771077,44123863,45519746,46956208,48431971,49945278,51493565,53076366,54689944,56324310,57966812,59607947,61242189,62869908,64494872,66123907,67761367,69407623,71058650,72709306,74352631,75983486,77599105,79200081,80788725,82368930,83943135,85512621,87075136,88625440,90156396,91663290,93147045,94611008,96056313,97484823,98899845,100298152,101684764,103081020,104514934,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753,130262220,131562775,132833768,134074378,135284064,136462077,137608574,138725066,139813700,140875763,141911813,142920645,143899675,144845374,145755088,146627857,147464087,148264124,149028879,149759030,150454446,151114754,151740132,152330831,152887033,153408998,153896747,154349943,154768043,155150814,155498389,155811276,156090208,156336100,156549788,156731747,156882447,157002774,157093768,157156265,157190940,157198226,157178505,157132031,157059120,156960245,156835947,156686636,156512671,156314489,156092430,155846973,155578712,155288340,154976419,154643526,154289973,153915690,153520441,153104199,152667367,152210623,151734642,151240229,150728188,150199169,149653923,149093312,148518320,147929920,147328994,146716461,146093169,145460006,144817906,144167846,143510893,142848136,142180737,141509942
MHL,13005,13226,13441,13628,13792,13897,13996,14085,14208,14394,14674,15056,15547,16111,16710,17282,17834,18383,18966,19617,20394,21305,22335,23440,24530,25579,26548,27479,28400,29417,30574,31883,33330,34881,36564,38331,40212,42168,44092,45827,47265,48403,49242,49828,50214,50454,50523,50453,50356,50418,50754,51411,52368,53465,54476,55257,55765,56046,56166,56255,56361,56524,56712,56933,57183,57444,57723,58053,58412,58791,59194,59618,60051,60520,61041,61597,62226,62895,63583,64299,64998,65687,66362,67028,67686,68328,68948,69568,70156,70727,71264,71783,72284,72747,73185,73611,73998,74362,74718,75053,75363,75661,75939,76197,76440,76669,76886,77086,77272,77435,77582,77715,77829,77911,77974,78021,78030,78013,77980,77915,77807,77680,77527,77330,77110,76868,76599,76301,75975,75618,75244,74843,74418,73977,73493,73018,72494,71960,71391,70815,70213,69582,68943,68278,67597,66899,66191,65473,64727,63979,63211
MKD,1254444,1290417,1320982,1347470,1370979,1392461,1412610,1432016,1451021,1469848,1488670,1507647,1527109,1547449,1569139,1592437,1617797,1644949,1672399,1698150,1720805,1739529,1754951,1769002,1784400,1803008,1825559,1851070,1877690,1902718,1924203,1941527,1955247,1965892,1974413,1981536,1987538,1992278,1995508,1996863,1996218,1993304,1988659,1984024,1981713,1983259,1989441,1999588,2012052,2024393,2034823,2042844,2048929,2053426,2057043,2060280,2063132,2065408,2067309,2069030,2070737,2072484,2074275,2076065,2077780,2079335,2080746,2081996,2082956,2083458,2083380,2082661,2081304,2079337,2076820,2073808,2070277,2066217,2061614,2056458,2050742,2044473,2037682,2030367,2022566,2014290,2005573,1996427,1986909,1977072,1966966,1956618,1946051,1935294,1924398,1913374,1902252,1891039,1879713,1868293,1856775,1845147,1833408,1821546,1809537,1797365,1785026,1772511,1759827,1746980,1733957,1720779,1707425,1693944,1680314,1666557,1652687,1638720,1624687,1610613,1596536,1582458,1568405,1554432,1540560,1526826,1513246,1499851,1486654,1473682,1460927,1448431,1436183,1424184,1412429,1400940,1389682,1378676,1367895,1357305,1346890,1336645,1326556,1316605,1306771,1297054,1287428,1277888,1268380,1258882,1249361
MLI,4708425,4759043,4811202,4864752,4919548,4975400,5032123,5089512,5147342,5205447,5263727,5322269,5381367,5441618,5503750,5568495,5635864,5706192,5780836,5861417,5949042,6044524,6147464,6256191,6368346,6482282,6596721,6712267,6831090,6956409,7090124,7234725,7388670,7545163,7694857,7831888,7952863,8062216,8171525,8296919,8449915,8635528,8850334,9087173,9334893,9585660,9837575,10094363,10360564,10642937,10946448,11271603,11616890,11982692,12369078,12775509,13203378,13651455,14113578,14581427,15049352,15514593,15979492,16449854,16934213,17438772,17965448,18512429,19077755,19658023,20250834,20855724,21473776,22105727,22752840,23415892,24094918,24789305,25498424,26221381,26957390,27705952,28466758,29239462,30023764,30819222,31625441,32441671,33266799,34099472,34938565,35783363,36633497,37488583,38348389,39212645,40080837,40952460,41827248,42705035,43585533,44468408,45353170,46239179,47125737,48012212,48898083,49783022,50666789,51549250,52430199,53309134,54185523,55058963,55929050,56795278,57657308,58514460,59365634,60209527,61045044,61871413,62688315,63495720,64293865,65082743,65862047,66631050,67388931,68134715,68867545,69586951,70292649,70984138,71660977,72322765,72969184,73600026,74215262,74814915,75399035,75967602,76520521,77057733,77579177,78084861,78574865,79049369,79508596,79952913,80382697
MLT,311998,312215,312746,313266,313562,313523,313195,312702,312303,312316,312973,314414,316520,318888,320927,322238,322696,322457,321762,321031,320548,320364,320437,320801,321436,322358,323579,325126,326984,329117,331494,334115,336964,339984,343096,346254,349431,352617,355796,358935,362017,364991,367890,370774,373754,376893,380259,383756,387282,390626,393649,396324,398720,400858,402820,404659,406330,407854,409493,411559,414257,417720,421809,426144,430190,433559,436099,437935,439255,440377,441539,442790,444030,445228,446303,447186,447885,448413,448763,448933,448894,448651,448223,447624,446886,446020,445049,443974,442826,441595,440314,438982,437619,436230,434841,433457,432075,430714,429380,428064,426793,425541,424323,423132,421956,420772,419612,418437,417253,416054,414830,413570,412265,410930,409542,408095,406599,405034,403429,401757,400048,398283,396476,394640,392802,390934,389067,387212,385367,383546,381760,380013,378309,376653,375062,373515,372041,370615,369266,367988,366765,365625,364544,363526,362575,361667,360812,359987,359216,358459,357732
MMR,17779635,18103970,18440675,18792741,19162186,19550067,19956404,20380220,20819752,21272677,21736947,22211626,22697664,23198238,23717785,24259356,24823937,25410054,26015239,26635852,27269063,27913749,28570093,29238168,29918469,30611093,31314347,32026748,32748782,33481396,34224316,34976465,35734273,36491804,37241530,37977087,38698484,39404350,40085653,40731439,41335188,41890192,42401686,42889992,43383421,43901598,44452203,45027223,45611220,46181075,46719698,47225119,47702163,48148907,48564489,48949931,49301049,49621479,49929642,50250366,50600827,50990612,51413703,51852464,52280816,52680724,53045199,53382521,53708318,54045422,54409794,54806014,55227152,55663658,56101106,56528473,56942754,57345565,57735854,58113595,58478490,58829180,59163939,59481897,59782382,60064902,60328913,60574208,60801049,61010012,61201610,61376012,61533448,61674440,61799666,61909755,62005179,62086440,62154321,62209729,62253423,62285942,62307684,62319335,62321570,62314914,62299806,62276461,62244972,62205249,62157257,62101160,62037135,61965132,61885108,61797027,61700956,61596988,61485149,61365379,61237717,61102316,60959345,60808943,60651275,60486510,60314931,60136861,59952753,59763086,59568374,59369000,59165372,58958096,58747818,58535141,58320468,58104168,57886753,57668721,57450524,57232477,57014787,56797625,56581073,56365233,56150165,55935933,55722614,55510261,55298929
MNE,394739,400872,410508,421731,433140,443796,453322,461813,469782,478070,487416,498129,509707,520712,529176,533821,533915,530234,524845,520645,519702,522782,529214,537766,546565,554259,560423,565512,570060,574953,580757,587689,595351,602965,609438,614011,616356,616794,616054,615205,615004,615736,617181,618863,620076,620419,619705,618216,616340,614652,613558,613170,613371,614081,615137,616388,617863,619554,621312,622933,624279,625271,625931,626342,626650,626957,627271,627563,627803,627988,628062,628051,627951,627766,627489,627148,626708,626192,625578,624865,624058,623144,622119,620991,619765,618423,616985,615428,613796,612071,610249,608361,606409,604389,602328,600226,598098,595926,593742,591555,589336,587105,584870,582625,580355,578081,575762,573438,571088,568700,566260,563796,561282,558729,556122,553476,550786,548040,545264,542443,539596,536716,533805,530859,527933,524985,522025,519078,516126,513184,510246,507324,504401,501480,498592,495705,492834,489969,487116,484280,481454,478630,475825,473016,470219,467445,464664,461907,459145,456395,453656
MNG,780199,793537,807922,823068,838787,855099,872163,890281,909886,931487,955514,982181,1011327,1042387,1074518,1107121,1139962,1173186,1207104,1242213,1278819,1317042,1356673,1397305,1438421,1479646,1520868,1562207,1603910,1646290,1689622,1733475,1777727,1823214,1871089,1921889,1976313,2033351,2089708,2141005,2184139,2217918,2243495,2263196,2280475,2298017,2316571,2335744,2355667,2376228,2397417,2419594,2443261,2468765,2496394,2526429,2558854,2593819,2631899,2673794,2719902,2770357,2824698,2881783,2940111,2998433,3056358,3113788,3170214,3225166,3278292,3329282,3378078,3424876,3470039,3513907,3556500,3597810,3638042,3677433,3716204,3754453,3792265,3829747,3867004,3904132,3941198,3978245,4015261,4052266,4089199,4126109,4162925,4199660,4236244,4272639,4308783,4344643,4380057,4414871,4448931,4482181,4514594,4546089,4576582,4606031,4634399,4661704,4687974,4713270,4737637,4761118,4783745,4805627,4826928,4847754,4868158,4888198,4907933,4927404,4946681,4965776,4984739,5003578,5022338,5041021,5059632,5078180,5096621,5114957,5133137,5151154,5168959,5186498,5203680,5220424,5236704,5252463,5267637,5282159,5295964,5308985,5321208,5332619,5343167,5352842,5361621,5369471,5376379,5382304,5387208
MNP,6997,7078,7204,7394,7660,7980,8376,8810,9238,9640,9980,10243,10438,10591,10780,11023,11341,11723,12135,12577,13000,13423,13884,14322,14672,14917,15024,15049,15167,15640,16633,18168,20163,22622,25496,28719,32377,36371,40294,43542,45752,46662,46473,45763,45361,45872,47518,50052,52999,55633,57453,58319,58412,57954,57240,56547,55886,55215,54621,54194,53971,54013,54306,54786,55301,55779,56187,56553,56889,57213,57557,57910,58271,58627,58983,59343,59684,60053,60404,60738,61052,61361,61647,61916,62147,62368,62533,62670,62785,62858,62889,62900,62888,62829,62763,62661,62558,62438,62309,62170,62035,61885,61736,61587,61439,61297,61142,61001,60867,60732,60602,60454,60339,60218,60089,59972,59858,59738,59631,59524,59418,59299,59197,59089,58979,58882,58763,58652,58531,58390,58260,58112,57962,57792,57608,57425,57209,57000,56765,56531,56268,56017,55748,55469,55182,54895,54600,54295,53994,53686,53390
MOZ,5958982,6059446,6165054,6275232,6389675,6508400,6631668,6760108,6894491,7035799,7184870,7342117,7507309,7679465,7857107,8039217,8225919,8417698,8614445,8816056,9022747,9232655,9446235,9668655,9906963,10165216,10443954,10738534,11041206,11341405,11630194,11913085,12189817,12439773,12636120,12764385,12808566,12786353,12758003,12805950,12987292,13328029,13805999,14370950,14948050,15483277,15960445,16397175,16813946,17244176,17711925,18221884,18764147,19331097,19910549,20493927,21080108,21673319,22276596,22894718,23531567,24187500,24862673,25560752,26286192,27042001,27829930,28649007,29496009,30366043,31255435,32163045,33089463,34034812,34999756,35984616,36988943,38011831,39052601,40110504,41184834,42274983,43380527,44501119,45636500,46786290,47950019,49127034,50316491,51517502,52729199,53950939,55182196,56422463,57671323,58928302,60192877,61464424,62742156,64025239,65312931,66604539,67899661,69198151,70500057,71805217,73113189,74423252,75734669,77046554,78358129,79668765,80977896,82284685,83588235,84887758,86182488,87471870,88755552,90033334,91304873,92569685,93827010,95075843,96314988,97543456,98760553,99965858,101159028,102339809,103507934,104663031,105804599,106931993,108044558,109141736,110223046,111288330,112337748,113371671,114390274,115393445,116380734,117351581,118305327,119241440,120159482,121059119,121940245,122802809,123646947
MRT,651434,666806,683139,700494,718871,738295,758751,780219,802673,826069,850377,875586,901690,928742,956794,985907,1016093,1047345,1079580,1112749,1146776,1181659,1217443,1254156,1291857,1330594,1370364,1411139,1453028,1496174,1540644,1586496,1633655,1681859,1730737,1780033,1829678,1879756,1930427,1981902,2034347,2087914,2142645,2198538,2255520,2313630,2372900,2433567,2496217,2561584,2630217,2702405,2778097,2857150,2939246,3024198,3111908,3202512,3296237,3393408,3494200,3598646,3706555,3817497,3930894,4046304,4163532,4282582,4403312,4525698,4649660,4775110,4901979,5030233,5159893,5290956,5423376,5557164,5692349,5829005,5967176,6106861,6248044,6390767,6535012,6680816,6828162,6977028,7127351,7279053,7432085,7586361,7741885,7898593,8056473,8215473,8375547,8536636,8698624,8861413,9024891,9189003,9353696,9518884,9684503,9850476,10016741,10183278,10350019,10516954,10684059,10851267,11018561,11185950,11353512,11521243,11689141,11857155,12025168,12193047,12360685,12528014,12695007,12861691,13028161,13194403,13360421,13526116,13691379,13856082,14020097,14183380,14345864,14507453,14668064,14827605,14985994,15143182,15299179,15454023,15607692,15760170,15911373,16061193,16209544,16356335,16501473,16644898,16786585,16926478,17064607
MSR,13524,14127,14476,14601,14509,14231,13817,13320,12799,12323,11957,11729,11653,11673,11711,11721,11696,11647,11604,11553,11538,11519,11530,11539,11550,11576,11612,11654,11675,11665,11607,11482,11299,11106,10925,10787,10704,10666,10632,10623,10616,10627,10659,10598,10362,9848,9014,7927,6745,5693,4925,4528,4431,4533,4703,4842,4890,4916,4906,4891,4895,4913,4930,4932,4952,4966,4978,4989,4993,4991,4999,4981,4968,4946,4923,4897,4865,4843,4816,4792,4763,4728,4704,4677,4649,4615,4586,4557,4537,4507,4481,4447,4420,4391,4361,4324,4290,4256,4222,4187,4144,4115,4073,4049,4006,3971,3940,3903,3870,3838,3812,3772,3735,3705,3674,3642,3615,3581,3553,3518,3495,3467,3444,3419,3403,3378,3355,3333,3318,3286,3273,3253,3231,3210,3188,3169,3149,3127,3106,3087,3062,3047,3026,3000,2983,2962,2952,2930,2911,2891,2878
MTQ,222003,224412,228268,233260,239150,245682,252652,259879,267209,274493,281626,288478,294957,300951,306361,311122,315172,318501,321174,323317,325014,326328,327301,327883,328073,327837,327176,326200,325296,324929,325448,326987,329451,332601,336166,339881,343744,347754,351708,355340,358457,360892,362756,364374,366254,368728,371913,375640,379639,383527,387016,389984,392500,394534,396106,397191,397850,398048,397664,396561,394666,391886,388366,384581,381142,378483,376789,375946,375672,375557,375265,374743,374083,373318,372532,371760,370999,370204,369396,368564,367713,366851,365963,365021,363991,362883,361667,360344,358902,357325,355592,353738,351709,349574,347307,344945,342488,339940,337324,334657,331959,329239,326518,323787,321078,318406,315763,313164,310627,308150,305735,303389,301131,298936,296818,294781,292795,290903,289062,287281,285531,283841,282168,280523,278911,277309,275723,274129,272558,270973,269374,267765,266139,264499,262847,261166,259471,257760,256029,254289,252524,250757,248978,247177,245371,243530,241678,239810,237906,235978,234041
MUS,493258,506428,521191,537050,553622,570650,587952,605487,623274,641423,660025,679050,698310,717407,735860,753283,769560,784774,799143,812941,826451,839594,852394,865170,878356,892219,906918,922329,937818,952581,966039,978071,988889,998620,1007502,1015764,1023278,1030175,1037252,1045585,1055869,1068433,1082948,1098604,1114146,1128676,1141952,1154141,1165292,1175571,1185147,1193911,1201805,1208992,1215668,1222010,1228089,1233890,1239262,1243996,1247953,1251074,1253489,1255458,1257351,1259457,1261870,1264497,1267184,1269670,1271767,1273428,1274720,1275657,1276282,1276639,1276716,1276494,1275973,1275144,1274036,1272636,1270925,1268900,1266539,1263814,1260733,1257301,1253497,1249353,1244874,1240047,1234913,1229476,1223775,1217853,1211705,1205386,1198883,1192260,1185525,1178718,1171840,1164925,1157976,1151009,1144047,1137093,1130137,1123184,1116234,1109256,1102296,1095313,1088313,1081284,1074222,1067124,1059989,1052808,1045573,1038279,1030941,1023550,1016085,1008563,1000990,993355,985663,977943,970208,962449,954696,946939,939202,931496,923828,916208,908654,901168,893785,886503,879327,872293,865390,858618,852011,845558,839285,833196,827303
MWI,2953871,3011789,3072386,3135689,3201722,3270545,3342254,3416929,3494687,3575665,3659980,3747758,3839047,3933914,4032364,4134464,4240430,4350456,4464427,4582197,4703783,4829092,4958556,5093368,5235074,5384798,5545653,5717954,5896864,6075485,6250434,6412380,6565985,6737924,6964613,7268271,7666390,8141140,8636686,9075568,9404499,9600361,9685974,9710335,9745695,9844418,10022783,10264906,10552345,10854325,11148751,11432001,11713663,12000183,12301837,12625950,12973693,13341808,13727899,14128161,14539609,14962118,15396010,15839287,16289550,16745305,17205253,17670193,18143215,18628749,19129955,19647681,20180838,20728157,21287588,21857472,22437393,23027357,23626576,24234186,24849443,25471783,26100740,26735782,27376447,28022270,28672798,29327664,29986743,30649996,31317316,31988499,32663162,33340892,34021236,34703794,35388178,36074192,36761914,37451500,38142971,38836155,39530582,40225604,40920456,41614439,42307081,42998114,43687333,44374603,45059724,45742333,46421955,47097975,47769749,48436664,49098321,49754356,50404328,51047819,51684414,52313761,52935584,53549603,54155612,54753375,55342655,55923221,56494946,57057774,57611568,58156198,58691451,59217126,59733021,60238914,60734708,61220271,61695421,62159941,62613677,63056560,63488559,63909710,64320074,64719712,65108710,65487105,65854994,66212402,66559386
MYS,6109902,6271228,6449609,6639418,6836639,7038910,7245680,7458015,7678381,7910188,8156342,8417821,8692337,8973791,9253827,9526558,9790083,10046321,10297983,10549395,10804131,11062434,11324277,11592638,11871102,12162189,12468688,12790313,13122833,13460035,13798094,14134060,14471215,14819430,15192300,15598924,16043736,16522004,17022470,17528961,18029824,18519941,19002660,19484901,19977508,20487604,21017619,21562790,22114647,22661293,23194252,23709115,24208391,24698821,25190647,25690615,26201954,26720367,27236003,27735038,28208028,28650962,29068189,29468923,29866606,30270965,30684652,31104655,31528033,31949789,32365998,32776195,33181078,33579264,33969292,34349933,34720334,35080109,35429092,35767395,36095052,36411999,36717906,37012453,37295260,37566151,37825115,38072539,38309224,38536268,38754576,38964533,39166389,39360772,39548357,39729694,39905065,40074627,40238610,40397165,40550371,40698297,40840804,40977450,41107612,41230759,41346669,41455184,41555883,41648256,41731876,41806622,41872364,41928866,41975916,42013361,42041218,42059667,42068996,42069610,42061946,42046284,42022980,41992523,41955497,41912488,41863890,41810167,41752002,41690094,41625097,41557435,41487447,41415595,41342326,41267993,41192898,41117198,41040987,40964247,40886942,40809106,40730764,40651940,40572642,40492785,40412252,40330826,40248246,40164165,40078167
MYT,15138,15732,16444,17244,18101,18994,19897,20839,21833,22889,24016,25240,26537,27887,29220,30520,31783,33009,34251,35553,36964,38518,40199,41961,43733,45480,47188,48888,50697,52747,55136,57913,61044,64494,68205,72108,76187,80445,84941,89709,94779,100164,105826,111633,117470,123186,128752,134206,139575,144930,150331,155756,161204,166715,172345,178103,184026,190098,196269,202494,208716,214937,221147,227376,233658,240011,246460,252962,259526,266153,272813,279507,286254,293064,299934,306884,313926,321038,328227,335522,342899,350344,357874,365477,373112,380801,388506,396227,403955,411696,419426,427138,434838,442503,450132,457721,465251,472732,480166,487536,494851,502094,509267,516393,523450,530425,537344,544191,550978,557684,564326,570886,577384,583811,590148,596412,602593,608679,614669,620581,626389,632107,637716,643221,648630,653925,659118,664211,669178,674024,678780,683385,687885,692248,696495,700615,704603,708447,712171,715738,719180,722491,725640,728641,731510,734238,736815,739245,741542,743691,745691
