disease,Country Code,scenario,ConsiderTC,ConsiderMB,informal,discount,GDPloss,tax,pc_loss
Diabetes mellitus,URY,val,0,1,0.11,0.02,22.051294630180305,0.010599254225549,6149.727584417268
Diabetes mellitus,USA,val,0,1,0.11,0.02,16066.330920070175,0.0258421815313577,44967.211213835886
Diabetes mellitus,UZB,val,0,1,0.11,0.02,292.53821019262693,0.0223402839951701,7537.824397261846
Diabetes mellitus,VCT,val,0,1,0.11,0.02,1.096530953855291,0.02587068525390349,9790.965361245508
Diabetes mellitus,VEN,val,0,1,0.11,0.02,180.21685958025762,0.01871123993698122,5280.306892143303
Diabetes mellitus,VIR,val,0,1,0.11,0.02,3.7875674164758886,0.02732714266334801,39074.19310860562
Diabetes mellitus,VNM,val,0,1,0.11,0.02,889.7585780642662,0.0176678372440281,8451.379732543142
Diabetes mellitus,VUT,val,0,1,0.11,0.02,0.52804828062501,0.017806844885849438,1235.8465325379868
Diabetes mellitus,WSM,val,0,1,0.11,0.02,0.7989303184890105,0.020237460644508695,3437.935114702362
Diabetes mellitus,YEM,val,0,1,0.11,0.02,22.442328990865235,0.00851495437054159,569.8802850178641
Diabetes mellitus,ZAF,val,0,1,0.11,0.02,223.8428424926638,0.01137085854752,3276.03980417914
Diabetes mellitus,ZMB,val,0,1,0.11,0.02,13.09388321269088,0.0059708574331332,466.2347925108164
Diabetes mellitus,ZWE,val,0,1,0.11,0.02,9.884663032072998,0.0067221269434517,512.7985362780828
Diabetes mellitus,AFG,lower,1,1,0.0,0.0,4.406979770692846,0.0018109412578744145,84.24173100920648
Diabetes mellitus,AGO,lower,1,1,0.0,0.0,6.652938173360504,0.001010125439958,125.3037226222491
Diabetes mellitus,ALB,lower,1,1,0.0,0.0,1.936845517562256,0.0010370158234108,718.8477568295826
Diabetes mellitus,AND,lower,1,1,0.0,0.0,0.4857068255527208,0.0029196321657001256,6260.074027102761
Diabetes mellitus,ARE,lower,1,1,0.0,0.0,94.00743487678072,0.003136467569423641,8949.676088592938
Diabetes mellitus,ARG,lower,1,1,0.0,0.0,75.81798348234705,0.0024714947811118,1501.4313935423595
Diabetes mellitus,ARM,lower,1,1,0.0,0.0,7.022724185199593,0.0032463204804772,2401.8018743842185
Diabetes mellitus,ASM,lower,1,1,0.0,0.0,0.18719305026665387,0.005689453619432848,3438.0660979393883
Diabetes mellitus,ATG,lower,1,1,0.0,0.0,0.3210787525324763,0.003678360071867181,3021.5452238773046
Diabetes mellitus,AUS,lower,1,1,0.0,0.0,183.7818815944133,0.0032606367518197,6268.987795198284
Diabetes mellitus,AUT,lower,1,1,0.0,0.0,62.11812658247156,0.0033851739805569,6781.367317805435
Diabetes mellitus,AZE,lower,1,1,0.0,0.0,8.613987466460708,0.0016901893869652,796.1516816515216
Diabetes mellitus,BDI,lower,1,1,0.0,0.0,0.2946190787713623,0.0008583930476826,16.206187819938705
Diabetes mellitus,BEL,lower,1,1,0.0,0.0,70.897330723474,0.0032422562203254,5916.103645068347
Diabetes mellitus,BEN,lower,1,1,0.0,0.0,2.596973256308159,0.0008725769864283,145.44391892608476
Diabetes mellitus,BFA,lower,1,1,0.0,0.0,4.956527119201835,0.0014458406929054,157.4110139515051
Diabetes mellitus,BGD,lower,1,1,0.0,0.0,76.39870624725599,0.0009419414755092,419.0777529588465
Diabetes mellitus,BGR,lower,1,1,0.0,0.0,41.07998830162238,0.0054049742673931,6678.166042504469
Diabetes mellitus,BHR,lower,1,1,0.0,0.0,13.509644935514816,0.0041883177548086,6497.987822185445
Diabetes mellitus,BHS,lower,1,1,0.0,0.0,1.6941774321140994,0.0038058969858267,3888.130664608456
Diabetes mellitus,BIH,lower,1,1,0.0,0.0,8.728508809080802,0.0037661855024589,2896.888079002906
Diabetes mellitus,BLR,lower,1,1,0.0,0.0,4.903405102420776,0.0008763934589008,539.6528031181052
Diabetes mellitus,BLZ,lower,1,1,0.0,0.0,0.3790031383784275,0.0040773491896441,768.167848857624
Diabetes mellitus,BMU,lower,1,1,0.0,0.0,0.8808979330782412,0.0033684541169589303,15019.721299347613
Diabetes mellitus,BOL,lower,1,1,0.0,0.0,13.279914479388657,0.0028006262496466,955.8445563778348
Diabetes mellitus,BRA,lower,1,1,0.0,0.0,329.5621375407744,0.0033900438937968,1465.4262216866116
Diabetes mellitus,BRB,lower,1,1,0.0,0.0,0.4340904710492916,0.0033231602327025,1515.7560155535969
Diabetes mellitus,BRN,lower,1,1,0.0,0.0,2.4720107542329406,0.0024345266540306,5195.621314214271
Diabetes mellitus,BTN,lower,1,1,0.0,0.0,0.622505228718317,0.0011447007200347,726.5869589652596
Diabetes mellitus,BWA,lower,1,1,0.0,0.0,9.576350245997917,0.0055801193069482,3234.565728515389
Diabetes mellitus,CAF,lower,1,1,0.0,0.0,0.38846255798135276,0.0015213860985140595,59.02603231240586
Diabetes mellitus,CAN,lower,1,1,0.0,0.0,183.3218161147063,0.002587210924475,4361.5819231474015
Diabetes mellitus,CHE,lower,1,1,0.0,0.0,118.4321146049906,0.0049870657756451,12692.347393221067
Diabetes mellitus,CHL,lower,1,1,0.0,0.0,62.14015031883185,0.0033044471023337,3138.71166269624
Diabetes mellitus,CHN,lower,1,1,0.0,0.0,4155.557795480989,0.0030009473386727,2871.902126648341
Diabetes mellitus,CIV,lower,1,1,0.0,0.0,14.368665268583875,0.001092074361906,376.6390480159095
Diabetes mellitus,CMR,lower,1,1,0.0,0.0,6.948045757188721,0.0011643838095538,182.72469144811456
