disease,Country Code,scenario,ConsiderTC,ConsiderMB,informal,discount,GDPloss,tax,pc_loss
Diabetes mellitus,BLZ,lower,0,1,0.0,0.02,0.1434297310272639,0.00211727106202,290.7050015913856
Diabetes mellitus,BOL,lower,0,1,0.0,0.02,3.1236834424132995,0.0009321219558688,224.832457988523
Diabetes mellitus,BRA,lower,0,1,0.0,0.02,46.77909511345166,0.0006404811253495,208.00724597055003
Diabetes mellitus,BRB,lower,0,1,0.0,0.02,0.2587023922533884,0.0026842735320646,903.3363629206522
Diabetes mellitus,BRN,lower,0,1,0.0,0.02,1.4186245753697166,0.0018853695553839,2981.6359285808044
Diabetes mellitus,BTN,lower,0,1,0.0,0.02,0.3311467618021154,0.0008829861922057,386.5138918180342
Diabetes mellitus,BWA,lower,0,1,0.0,0.02,0.6700254088371773,0.000544996105201,226.3118170270521
Diabetes mellitus,CAN,lower,0,1,0.0,0.02,35.32146296087842,0.0006843120209375,840.3661801653357
Diabetes mellitus,CHE,lower,0,1,0.0,0.02,14.27088553890918,0.0008242636122468,1529.4081125956482
Diabetes mellitus,CHL,lower,0,1,0.0,0.02,9.14329565057257,0.000669194907795,461.8297275865267
Diabetes mellitus,CHN,lower,0,1,0.0,0.02,593.6693737837539,0.0006055215665197,410.2843519465984
Diabetes mellitus,CIV,lower,0,1,0.0,0.02,3.469215946383164,0.0003907347713282,90.93692190493522
Diabetes mellitus,CMR,lower,0,1,0.0,0.02,2.00867807821994,0.0004795232377479,52.825657010330055
Diabetes mellitus,COD,lower,0,1,0.0,0.02,3.408299690080124,0.0006964101076067,24.511445734939542
Diabetes mellitus,COG,lower,0,1,0.0,0.02,0.2341871625103249,0.0006722455825215,29.430969078255387
Diabetes mellitus,COL,lower,0,1,0.0,0.02,21.941715365384887,0.000929877435177,405.6070628152431
Diabetes mellitus,COM,lower,0,1,0.0,0.02,0.0493323498093209,0.0005309732910333,42.29213147933438
Diabetes mellitus,CPV,lower,0,1,0.0,0.02,0.0709344662826881,0.000563820901048,113.04134122331055
Diabetes mellitus,CRI,lower,0,1,0.0,0.02,3.9368501768884734,0.0010657610262696,710.6332898726694
Diabetes mellitus,CYP,lower,0,1,0.0,0.02,0.691517132021038,0.0004802712598383,534.1707193550595
Diabetes mellitus,CZE,lower,0,1,0.0,0.02,28.02242883546216,0.0019126624684536,2626.129759311068
Diabetes mellitus,DEU,lower,0,1,0.0,0.02,186.26290221155665,0.0015533533733787,2260.1599955369206
Diabetes mellitus,DJI,lower,0,1,0.0,0.02,0.2095891791597213,0.0006693459048918,180.69405478612452
Diabetes mellitus,DNK,lower,0,1,0.0,0.02,6.597815727693543,0.0006482876518759,1089.1835809576278
Diabetes mellitus,DOM,lower,0,1,0.0,0.02,14.035805833000122,0.0014637277150842,1167.7570872533763
Diabetes mellitus,ECU,lower,0,1,0.0,0.02,2.839359146305694,0.0005898339590062,137.13201323589038
Diabetes mellitus,ESP,lower,0,1,0.0,0.02,32.023269220103515,0.0006015615962175,702.3962479734683
Diabetes mellitus,EST,lower,0,1,0.0,0.02,1.5871070830868377,0.0009051268366262,1271.82762111157
Diabetes mellitus,ETH,lower,0,1,0.0,0.02,10.12317030596292,0.0004722689200471,63.1920274344185
Diabetes mellitus,FIN,lower,0,1,0.0,0.02,5.510467521304046,0.0007383043918429,992.6171503684226
Diabetes mellitus,FJI,lower,0,1,0.0,0.02,1.0074781009548692,0.0031041768165207,1014.9861499550188
Diabetes mellitus,FRA,lower,0,1,0.0,0.02,30.65359235452344,0.0003846268574693,457.9430454229369
Diabetes mellitus,GAB,lower,0,1,0.0,0.02,0.5308331904810982,0.0005164887258237,176.40898228769416
Diabetes mellitus,GBR,lower,0,1,0.0,0.02,90.96261331839452,0.0010906739975712,1274.7776857529318
Diabetes mellitus,GEO,lower,0,1,0.0,0.02,1.1112032897469788,0.0005069176972369,294.96741200100143
Diabetes mellitus,GHA,lower,0,1,0.0,0.02,6.390233080323486,0.0007713216341463,154.3107039016304
Diabetes mellitus,GIN,lower,0,1,0.0,0.02,1.090603201068756,0.0004850863998033,56.534488205962816
Diabetes mellitus,GMB,lower,0,1,0.0,0.02,0.0970296836165552,0.0003873270709767,26.908692252715856
Diabetes mellitus,GNB,lower,0,1,0.0,0.02,0.1009201720541324,0.0006100507975829,36.85328453022733
Diabetes mellitus,GRC,lower,0,1,0.0,0.02,3.110454837948303,0.0004021691174474,320.05751674432554
Diabetes mellitus,GTM,lower,0,1,0.0,0.02,5.965689790281906,0.0011020936342257,263.401871267099
Diabetes mellitus,HND,lower,0,1,0.0,0.02,1.8517643148229903,0.0009456336680767,153.73626321669968
