Index,Location,Notes,LocID,Country Code,LocType,LocTypeName,ParentID,WorldID,SubRegID,SubRegName,SDGSubRegID,SDGSubRegName,SDGRegID,SDGRegName,GeoRegID,GeoRegName,MoreDev,LessDev,LeastDev,oLessDev,LessDev_ExcludingChina,LLDC,SIDS,WB_HIC,WB_MIC,WB_UMIC,WB_LMIC,WB_LIC,WB_NoIncomeGroup,MaxHIV_Male,MaxHIV_Female,MaxHIV_BothSexes,YearMaxHIV_BothSexes,HIVAIDSMortalityImpact_AgePattern,HIVAIDSMortalityImpact_e0,TotPop2019LessThan90k
256,United Kingdom,29,826,GBR,4,Country/Area,924,   900,924,Northern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
257,Southern Europe,,925,   ,3,Subregion,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Albania,,8,ALB,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.11,0.05,0.08,2017,,,
259,Andorra,,20,AND,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
260,Bosnia and Herzegovina,,70,BIH,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,,,,,,,
261,Croatia,,191,HRV,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
262,Gibraltar,14,292,GIB,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
263,Greece,,300,GRC,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.34,0.08,0.21,2017,,,
264,Holy See,30,336,VAT,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,,,,,1518,,,,,,,Yes
265,Italy,,380,ITA,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.39,0.18,0.28,2005,,,
266,Malta,,470,MLT,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
267,Montenegro,,499,MNE,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.09,0.04,0.07,2017,,,
268,North Macedonia,,807,MKD,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,1636,,,1517,1502,,,,0.05,0.01,0.03,2017,,,
269,Portugal,,620,PRT,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.88,0.35,0.61,2008,,,
270,San Marino,,674,SMR,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
271,Serbia,31,688,SRB,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,,1517,1502,,,,0.07,0.03,0.05,2017,,,
272,Slovenia,,705,SVN,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.14,0.02,0.08,2017,,,
273,Spain,32,724,ESP,4,Country/Area,925,   900,925,Southern Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.66,0.21,0.44,2013,,,
274,Western Europe,,926,   ,3,Subregion,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Austria,,40,AUT,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.18,0.06,0.12,2016,,,
276,Belgium,,56,BEL,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
