"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.43940818045189","2.56882977833482","-2.12991775333434","1.78758883398485","3.91411260681083","0.756174307649044","2.83405555049927","-0.927016879663365","5.41198363085679","10.2454058280205","16.341811815504","19.7148351012962","24.3073170899803","28.5448336883419","28.6006922574089","27.9049203479905","14.0475569152156","13.2007636272863","11.0957231233849","14.0967332030459","14.8367188947641","13.2812573907351","18.4303855933048","17.8144651850326","16.8953324617512","15.3261013444968","9.81557392167299","14.7185222390274",
"American Samoa","ASM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2199007591853","20.7161977052518","24.2015577483223","15.8999924024149","18.9729385580654","21.21390989304","21.0424675889672","20.4477859447831","13.354416323509","11.9828950851134","11.8915862766891","13.1875531053812","10.220395365677","11.0371114217981","8.07697496085429","11.3293251765927","24.2614248497659","13.56885825845","10.4193676952227","7.16092291024921","7.22704969732689","2.78827665790782","7.05126450408463","9.74883855968536","15.2494201373492","23.0562019165613","26.3834270318497","14.2891538585916",
"Australia","AUS","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5518314263957","24.3054599796441","20.682046127586","18.1788746356445","20.1685520498206","21.7203090225133","20.650885699137","20.9136313077199","21.8305254360918","21.6434985678202","20.6610629411799","21.2274600185142","20.7778736276384","21.8070877597187","21.1012675486114","21.5410465745516","21.0013164822711","21.7309516520538","21.4168482185137","21.9567473279703","24.0707534908276","21.8688989260721","23.3365663687563","24.3772311403609","23.9769839341306","23.6689684917624","22.7027136704684","20.7190657792075","21.8042366424593","21.7391671977378","22.5285337065647","24.0725262876777",
"Austria","AUT","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0564137841862","26.7350904004832","28.1886245635904","28.6971226508836","24.8357557511612","25.8239023334529","26.0932641288984","25.7751751423172","25.4838180823277","25.9848707621721","25.6529443110837","27.1182657899183","26.3408468928348","26.7981972669158","27.7579900468969","27.7031468850389",
"Azerbaijan","AZE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.28102707845158","2.1043983093025","13.8209193078555","6.61884098122421","14.4728476596646","20.0314072783536","23.6630819869817","22.7117703158763","26.0313860127335","27.5425664333779","39.7041456849671","45.0843479979943","45.3645516429541","49.9430695713702","40.3676699846917","44.7303156495938","46.7937847377213","44.270343305257","42.7595486499261","40.746656833028","28.121919689224","22.6001463478813","29.0257536823728","32.1495600059931","28.5735479704091","24.2313766529251",
"Burundi","BDI","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.2636614525349","8.63455617300307","14.1953662628949","8.56435892711432","14.3924917485707","8.70394136029835","11.6815140438223","5.14371048637291","12.1115764697723","5.41727512480078","6.01727840108639","3.73755729739957","6.04074612248643","0.665302857107392","2.41802868214964","1.32796784952459","1.48988364734218","4.20017398723748","6.75563090813406","6.58731771530622","15.3535760974519","8.00943548860953","7.33647074802909","-1.50446287828129","9.85337786750853","3.21616089061871","1.95368778012853","10.8816150892978","3.93388814646655","0.617073291172706","11.2235230176878","6.45367218769642","7.2463510547914","5.49890037766491","","",
"Belgium","BEL","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3637538782916","26.219796079491","27.1911194965346","27.3162066854377","27.8466578004796","28.7778688407477","27.4207464295817","24.9976133046784","25.3503039621962","23.4992463461915","24.7316659912888","24.233698067482","24.575157329107","25.0080939418707","24.8158872039505","25.1517943582789","24.5446778951376","25.0925640279602","25.0028868186489",
"Benin","BEN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","11.1018916506305","10.1493346314316","11.215815138723","13.6151012929892","10.5040564325719","12.6413848767821","4.17243288354407","-3.2515576185361","13.2215475129539","8.1925154980758","7.51661402140557","2.63422420507194","4.13737395255718","4.35786381362685","0.770432280531512","4.51420464564828","9.68837395690806","10.7565411618978","9.57520641648833","9.6853137699726","14.5061015214504","15.8971112473208","15.2438911447474","16.1878513351162","15.7985753887415","12.4565302386023","12.6838792690968","13.2789218522183","13.6132886058767","11.3663909483015","13.2568656898271","12.1909298997418","12.4648654635762","14.0451902830668","12.6417405194128","11.454386666759","11.3872625454178","12.1256489307622","13.5331676032756","16.2831558507375","18.6021787812955","13.8620300559174","17.4022893872603","17.399154751424","19.6366054886186","21.7194272571192","",
"Burkina Faso","BFA","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.85370029893315","6.31385045509631","10.1689024149199","9.60447775506932","11.4920273754756","15.838709974504","17.4955993515736","18.0633010908326","14.3904330892987","13.3891808539794","11.8593440795797","13.4507488422039","14.7702126393654","17.1079807630542","16.8667786162531","",
