Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BEN,78121.48668,81102.88658749999,79848.62375,85128.2098,86094.80025,89096.27522499999,93444.09768,96073.61508,103970.64842499999,112930.50219999999,107299.65108999998,101952.36753549997,96872.18815872497,92048.25775078872,87467.16686324928
BFA,72214.54114,78890.94552499999,78419.74045,84105.47935,80840.70276249999,77835.37318,85256.16889999999,92976.07052499999,101052.7318,110836.53032499999,105312.45780874998,100066.48891831248,95082.07047239685,90348.249948777,85852.69545133814
BGD,1583783.024,1783988.208,1953872.9811999998,2127865.5979999998,2346192.294,2566233.184,2808755.097,3078969.107,3351058.194,3648530.9007999995,3466478.257759999,3293570.609871999,3129352.2803783985,2973336.2003594786,2825120.8583415044
BGR,459449.31889999995,463197.42579999997,496910.65869999997,489171.6394,509474.1491,523080.52019999997,529597.5721999999,556519.3888999999,571820.1854999999,588063.8132999999,558730.9336349999,530878.4869532499,504424.9846055874,479305.34637530794,455448.50405654253
BHR,300130.47504999995,313293.26,403031.30559999996,358062.2032,370544.97229999996,381220.35419999994,409118.16479999997,493933.19359999994,522269.81849999994,550109.9652999999,522640.3050349999,496549.1297832499,471768.3532940874,448226.01562938304,425862.52684791386
BHS,84216.10522499999,89220.91605,85301.33152499999,86962.31363,89278.97083,90180.2885,91127.30013,93429.24062499999,95616.85602499999,98326.58344999999,93420.21227749999,88760.570663625,84335.67813044375,80133.23222392156,76141.39561272548
BIH,129112.88727499999,146954.7908,146699.73474999997,157969.21819999997,163481.3241,163173.78717499998,156938.4978,164494.66112499998,170748.34634999998,177463.35199999998,168610.41039999996,160203.56287999995,152217.91973599995,144634.07874919995,137430.77881173996
BLR,572749.102,588558.4467999999,573470.8217999999,630576.8709,808089.8265999999,737658.5073999999,767960.5536,814405.1756,825617.5365999999,842193.8339999999,800145.4542999999,760206.3885849998,722268.9041557498,686227.2509479623,651989.017400564
BLZ,6755.210285937499,7296.180589062499,7619.3928546874995,8244.686566,8808.7801578125,9920.756290624999,11032.422274999999,12059.587534375,12413.778303124998,12775.80486,12139.062619375,11534.534488406249,10960.638763985937,10415.675825786639,9898.234034497307
BMU,20063.540015625,20721.310340624997,19105.57733,17697.958309374997,16477.13762,15529.834015624998,14757.06566,14164.241046874999,14260.51488,14544.479271875,,,,,
BOL,153799.951,165722.00182499998,173969.3588,185182.6421,201042.4528,218579.6665,232429.90569999997,254160.93779999999,266345.1223,276639.3337,262844.26396749995,249742.75176912494,237299.9431806687,225480.41402163525,214254.56532055346
BRA,16607247.542399999,18187404.403199997,18194446.604799997,18212719.37,18340024.361599997,17903854.415999997,17329675.03,17281973.350399997,17393398.74,17550698.527999997,16674639.691599997,15842578.357019996,15052401.289168995,14301954.894710544,13589045.569975017
BRB,28253.495093749996,31104.088806249998,32138.979581249998,31776.460543749996,32260.15677,31957.49951,32976.00443,43876.87865,43650.71966,43485.34726,41316.247899375,39255.71050440625,37299.18197918593,35440.94388022663,33676.0976862153
BRN,150159.4024,161203.2231,178120.10979999998,202559.79664999997,208125.3559,204252.81864999997,214221.03704999998,237674.96564999997,247832.53624999998,256844.9912,244014.7476,231828.01625799996,220253.29744509995,209255.75857284493,198808.68064420266
BTN,40150.97211,44383.9231,49078.5905,50469.25349,55427.68866,60445.216199999995,65758.64164,72271.96935,75427.70401249999,78538.1758,74613.85300999999,70885.78336,67344.363191525,63980.05303194875,60784.20138035131
BWA,181006.6482,199447.0943,202229.87389999998,202103.41854999997,206873.8148,209238.51179999998,210297.61294999998,213827.25504999998,226132.702,239155.8988,227213.03381249998,215871.13312187497,205097.8984657812,194862.39954249214,185139.2455653675
CAF,25403.47531,29080.484912499996,29839.450093749998,32414.05305,34714.978518749995,35634.509112499996,36499.05509,39875.841,40436.373837499996,40834.56183,38795.22273,36858.0465970625,35017.604267209375,33269.35505384891,31608.71030115646
