Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AZE,155.22853528754823,187.48313736033032,237.66447364342184,255.22289855104637,284.15920627663365,239.38175353529482,171.9098411998136,168.94041117884436,181.8294509571623,200.41195770842273,246.32581053192197,2.5745000852949876e-08,2.698387486995393e-08,2.838587304275883e-08,2.9976312927297164e-08,3.178758653525204e-08,3.386341879705622e-08,3.6260259921887567e-08,3.90494708184062e-08,4.2325380691464135e-08,4.539215373285856e-08,4.869052510682482e-08,5.2238279107800435e-08,5.6055163462841656e-08,6.016297399340477e-08,6.458558694160977e-08,6.934748048487971e-08,7.4475608645265e-08,8.000194516893552e-08,8.596271288216834e-08,9.2396671686071e-08,9.934443848202212e-08,1.0684835997427394e-07,1.1495576485916712e-07,1.2371722690967465e-07,1.3318779421725546e-07,1.4342772415454152e-07,1.54501485572731e-07,1.664768318966613e-07,1.7942499639379646e-07,1.9342360851226814e-07
BDI,26.426375864654407,25.132410668773698,21.79797111032283,22.172580446636843,19.819491688433185,19.21734242095031,17.8051109926466,17.48999890227147,17.40820094788659,20.222556098780846,23.884267672657085,2.3023200480374862e-08,2.3042352916336e-08,2.3094124831244086e-08,2.3178972263408724e-08,2.3297907609360384e-08,2.3453002587184205e-08,2.364679398100813e-08,2.3881676180106708e-08,2.4160401433094806e-08,2.4387483009263613e-08,2.4624424036958194e-08,2.4871245230698446e-08,2.5127822789941088e-08,2.5393992347890523e-08,2.5669753557339465e-08,2.595519219460328e-08,2.6250566589861008e-08,2.655602744553574e-08,2.6871800611104807e-08,2.719816442244381e-08,2.7535479398143362e-08,2.7884115153446785e-08,2.824460851354937e-08,2.8617495740014126e-08,2.9003346453034787e-08,2.9402659220221998e-08,2.981597453689887e-08,3.024410313179335e-08,3.0687910950309525e-08,3.1148241049287904e-08
BEL,4491.361384207881,4960.603216924335,4721.879773151955,4969.667091076113,5086.395579088872,4410.115809167649,4508.4453063924875,4736.61075678324,5133.052370832933,5020.953273037239,5117.736909555507,5.790904648284686e-08,6.125223896819975e-08,6.504304907106323e-08,6.935287644622815e-08,7.427743390304139e-08,7.994957400381006e-08,8.655258162333076e-08,9.433118216784373e-08,1.0362340749766868e-07,1.1021936601405415e-07,1.1724780480567954e-07,1.2473478197139984e-07,1.3271141128495772e-07,1.4121154186456328e-07,1.502708492493479e-07,1.599275263877134e-07,1.7022209961952002e-07,1.8119700004388695e-07,1.9289765486810517e-07,2.053727970109199e-07,2.1867410305767404e-07,2.3285825839319914e-07,2.4798713299839674e-07,2.641272320943185e-07,2.8135133852044695e-07,2.997330116505203e-07,3.1935097134354347e-07,3.4028867977429776e-07,3.626341450511259e-07,3.864826983638009e-07
BEN,31.198549437783026,33.875190015282264,35.22026663145779,35.89479854156193,34.75339140090179,29.37645864819905,30.395072978864786,30.325898700423497,35.84306195272762,30.59940604412477,31.884889119115684,1.492673781633023e-08,1.558380523231781e-08,1.6352237794513873e-08,1.725715588929152e-08,1.8332220284063122e-08,1.9623299173909975e-08,2.119434140106602e-08,2.3136558148157066e-08,2.558448098398781e-08,2.5900951551072084e-08,2.622771735725516e-08,2.6565149300305977e-08,2.6913705473799457e-08,2.7273842531359662e-08,2.7646001682090164e-08,2.803060479486627e-08,2.8428124405677968e-08,2.8839125748230674e-08,2.926417557857412e-08,2.9703913283190422e-08,3.015876852438659e-08,3.062921021347287e-08,3.1115656703906874e-08,3.161847839348793e-08,3.2138138644373496e-08,3.267508929485266e-08,3.32299025238585e-08,3.38031036287449e-08,3.439527114973087e-08,3.500697978595166e-08
BFA,33.94391571094211,34.91962873616973,34.88827521185564,43.80941010402403,39.64446814497191,33.52825996560694,41.024368118613644,44.28278956917309,40.271535698791375,41.96247589591414,55.133373900150765,2.046820103942407e-08,2.128085902263049e-08,2.2229024248120724e-08,2.334169614400592e-08,2.465719371992418e-08,2.6227193555106055e-08,2.8122663024379257e-08,3.044306797206855e-08,3.333213738948454e-08,3.3630593851798094e-08,3.39400214897266e-08,3.426094854614185e-08,3.459404174844211e-08,3.494003884842339e-08,3.5299618645393554e-08,3.567336975217839e-08,3.606181806440091e-08,3.6465790801927586e-08,3.688611626342175e-08,3.732355300399895e-08,3.777874486064631e-08,3.8252191827954234e-08,3.8744352861517375e-08,3.925561096230781e-08,3.9786409132273265e-08,4.033723027213626e-08,4.090875347952128e-08,4.150188633446093e-08,4.211763550259432e-08,4.2756901476511376e-08
BGD,17.872844076607045,20.368796045112656,20.779689513445977,22.542296432876007,25.501001806381463,28.37694669176227,40.1148337926151,43.543360123368565,46.124846734992566,48.633369586717656,51.562064817330295,9.81219094470739e-10,1.039037963759089e-09,1.1054975357727857e-09,1.182546167456515e-09,1.2727410277477373e-09,1.3795064624474863e-09,1.5075218100175002e-09,1.6633482733548704e-09,1.8564638514518056e-09,1.9094961287380756e-09,1.9646498952011996e-09,2.0220277133768927e-09,2.08173854750395e-09,2.143901418784215e-09,2.2086359324510633e-09,2.276061488581425e-09,2.346292726111801e-09,2.419443764852271e-09,2.4956280564596298e-09,2.5749680608156293e-09,2.657604026791979e-09,2.743686679759399e-09,2.8333649933169115e-09,2.926793775128402e-09,3.0241388744188547e-09,3.1255739659183034e-09,3.2312901995860205e-09,3.341503297482616e-09,3.4564484016383436e-09,3.576366735597099e-09
BGR,485.3899853452801,555.5662328811705,558.129462302526,547.0221298829232,605.8419795555453,521.5475840712056,562.8862639386169,625.4600717670785,689.062954893432,695.1297233903248,863.0400673379152,9.43297874114335e-08,1.0227091143941251e-07,1.1148714101377353e-07,1.222983800580625e-07,1.3513843529221974e-07,1.5060570518303544e-07,1.6955230285213642e-07,1.9323151031563332e-07,2.2355431887653673e-07,2.2979897815501537e-07,2.3624777635805146e-07,2.4290580134303025e-07,2.4977425032072686e-07,2.568527514457124e-07,2.641403089301635e-07,2.716415386349527e-07,2.7935973756911316e-07,2.8729609990059886e-07,2.9545068057457304e-07,3.0382388160423283e-07,3.1241695485685657e-07,3.2123533416092043e-07,3.3028651024479874e-07,3.39580330549134e-07,3.491271499339648e-07,3.589350105102172e-07,3.6901033267123124e-07,3.793664312787187e-07,3.9001859277687826e-07,4.0097985860541203e-07
BHR,883.4090129371061,904.6296684053282,1009.7005057789632,1108.1817171811397,1148.368298759191,1179.859116266752,1155.1248353592423,1123.646192193453,1040.5948472087698,975.9012958654099,993.4318848998238,6.591862124527039e-08,6.634406467549334e-08,6.712969144362208e-08,6.807600498942859e-08,6.904343700343927e-08,7.000813947852285e-08,7.102745135576527e-08,7.214199009385668e-08,7.341716701292632e-08,7.468490878387537e-08,7.608538251800069e-08,7.759998170490322e-08,7.922033851864325e-08,8.093097060059618e-08,8.272089651019423e-08,8.458936765650022e-08,8.653980926881893e-08,8.857322225713412e-08,9.068847426590111e-08,9.288771128991664e-08,9.516940638983533e-08,9.753545008800536e-08,9.998806725198782e-08,1.0253202466329693e-07,1.0517153627549709e-07,1.0790806528266674e-07,1.1074423294797254e-07,1.1368244886455692e-07,1.1672538197947974e-07,1.1987577208118229e-07
BHS,1494.9943775350598,1491.0307379411986,1568.3655563057473,1583.9084704304369,1640.212774443683,1609.6374837327367,1766.0051115344659,2148.7697897282246,1957.1815064008194,1945.900451739575,1936.448227277545,2.4640217021067535e-06,2.776403767954234e-06,3.1808229134118186e-06,3.72147871502904e-06,4.4746345836657434e-06,5.581818799892381e-06,7.33197669899335e-06,1.0396943140142898e-05,1.6645403351214446e-05,1.652910665527639e-05,1.6417976331195827e-05,1.631274238397145e-05,1.6213020932865083e-05,1.6119003199994783e-05,1.6030038790311513e-05,1.5946987977889454e-05,1.5868611621297904e-05,1.5795138424958e-05,1.5726127581711483e-05,1.5661297366111344e-05,1.5601103966710416e-05,1.5544624684721115e-05,1.549229427138685e-05,1.544399934224431e-05,1.5398961900968966e-05,1.5357762840147152e-05,1.53199102092485e-05,1.5285356192084562e-05,1.525451921746293e-05,1.5226303580260498e-05
BIH,418.11169449567046,467.48422942773635,453.4895821634754,484.93386947509043,505.79270569825474,441.9952853391966,462.00991073194774,482.28248046743556,539.8439975456139,554.1042320702239,597.9994442685891,2.1677612619003337e-07,2.3383113907462905e-07,2.533710202383278e-07,2.761336911319144e-07,3.030847075378173e-07,3.354861082574142e-07,3.750445974130168e-07,4.241963597918679e-07,4.86542112137466e-07,4.985210422294502e-07,5.10836229823399e-07,5.235455915998598e-07,5.366633667915018e-07,5.502067375677916e-07,5.641928831683269e-07,5.786392751873648e-07,5.935586706380965e-07,6.089680861997537e-07,6.2488903589211e-07,6.413398717900743e-07,6.583414704959128e-07,6.759091196867176e-07,6.940686785628398e-07,7.128473103195404e-07,7.322709461008728e-07,7.523598332101175e-07,7.731374178586274e-07,7.946168856448827e-07,8.168126755468394e-07,8.397410106631306e-07
BLR,343.856447538532,319.4611863659471,366.19865871319934,456.84405448075415,450.3950798915094,363.03187262264674,298.5993670820761,333.5555228732442,351.19635270947714,399.30912837719535,416.31875098873985,1.6002555156182964e-08,1.638807824269432e-08,1.6797374990139592e-08,1.7231104500961785e-08,1.76900955855788e-08,1.8176140793175335e-08,1.8691413530885014e-08,1.9238144899176315e-08,1.9818683625244436e-08,2.039414157354992e-08,2.0990269457298716e-08,2.160745009380811e-08,2.224578829560051e-08,2.2905178821019827e-08,2.3585565834951823e-08,2.4287247641738995e-08,2.5010561741459138e-08,2.5755603559535577e-08,2.652239933926604e-08,2.731100214044539e-08,2.8121662074832525e-08,2.8954817893185875e-08,2.981107634445644e-08,3.069131975478997e-08,3.1596428991499186e-08,3.2527058527746415e-08,3.3483943472079456e-08,3.4468144535760873e-08,3.548093869981468e-08,3.652373401919938e-08
BLZ,243.35235620569674,251.69981906354846,246.43774385241466,260.8712293355356,295.4195655367947,282.7643426278656,289.76016152818005,278.40325515651654,284.1533992811385,294.52100764335177,272.79774624142084,1.8695938924465627e-06,2.115702426306389e-06,2.443326328030874e-06,2.8964064351871766e-06,3.5558166079475848e-06,4.583093872169842e-06,6.342412829139258e-06,9.809170312757973e-06,1.831887620803264e-05,1.8061352702362452e-05,1.7816229064940867e-05,1.7582170504351254e-05,1.7358783020083108e-05,1.714507173251591e-05,1.6941280608741165e-05,1.6746858263439738e-05,1.6561327888322216e-05,1.6383930294835055e-05,1.621449396287764e-05,1.605267444965519e-05,1.5898091707699214e-05,1.5750304383407168e-05,1.560970967281191e-05,1.5475032755338582e-05,1.534703674353823e-05,1.5225174046346351e-05,1.5108906228614933e-05,1.4998154981324296e-05,1.4892113297363667e-05,1.4790719830439432e-05
BOL,101.72948746579122,121.3783182439904,137.12167363842286,162.12202804073718,181.71177540049254,198.87586628082107,210.23810688712126,217.49449790551913,234.3487353396561,244.6639644152956,251.74776196145692,4.206423587941318e-08,4.403579619445564e-08,4.627104630273046e-08,4.882202778605074e-08,5.175476626970344e-08,5.5153902395642546e-08,5.913081085827667e-08,6.383538573676363e-08,6.947310211852134e-08,7.322063135929511e-08,7.719082350355767e-08,8.13976286152528e-08,8.58554525687434e-08,9.057941309541048e-08,9.558582622999555e-08,1.0089228050897672e-07,1.0651812421373918e-07,1.1248443391626616e-07,1.1881373021774094e-07,1.2553007177411493e-07,1.326586338142926e-07,1.4022591284254195e-07,1.4825982205026703e-07,1.567893542515067e-07,1.658462336280117e-07,1.7546418431007996e-07,1.8568008940466058e-07,1.9653392566177323e-07,2.0806936587664057e-07,2.2033205903527455e-07
