Country Code,sex,age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,M,d25,932597.0287867103,984703.46459291,1034545.6529113316,1092487.667281842,1144333.7101634587,1210412.1584569835,1318957.5337826854,1442281.1492054444,1548813.2864193288,1640492.5724044158
AFG,M,d30,760887.5900991757,763626.9410131463,792251.8433904989,833563.0402736703,872074.4735199581,910588.9805905008,951652.1822046996,993023.6895726618,1042137.411335551,1105905.2901424712
AFG,M,d35,955418.88329244,918632.5918967568,866730.589929507,817413.0440734496,771777.3337470504,739399.6926996165,737511.8078914351,762319.3638923671,799546.0535893079,843533.6129150983
AFG,M,d40,753338.7234358203,830662.4613302021,892134.9866564706,929382.80846975,939360.5678644888,923646.1844485285,884768.3215179822,832758.468919593,783708.5020688057,743675.218337702
AFG,M,d45,348434.6706134965,415708.41518783016,491396.7870535781,570712.6084790371,647148.8022038165,722155.6351635936,794931.8419427457,852887.7367882727,887405.3210837088,899359.7263618393
AFG,M,d5,2340306.690921068,2392172.22002418,2441989.001289817,2501562.0701460387,2551983.6498133065,2607668.206753396,2687367.212951892,2770073.063738276,2852240.873018249,2938472.890896533
AFG,M,d50,169480.3956983746,182517.70100383364,204823.22098100965,235713.9391422361,276913.9147919358,329671.42336790625,393115.6183242274,464627.0818583027,539239.7114047998,612278.6644854387
AFG,M,d55,173493.0789701253,163704.16059173178,156719.53186047848,153005.04425974717,152370.9480911938,156513.71326622274,168694.7041078872,189519.14619561503,218116.3967683949,256417.04932062468
AFG,M,d60,143143.25194600224,145384.8108850911,146933.51026766447,148136.087939295,149429.32084581678,153945.8712401123,145510.21487413888,139551.41279593675,136286.3004496517,135702.83362381996
AFG,M,d65,356705.824695159,360193.48225772125,362627.54219186533,363396.61441188445,361542.07151386485,354512.2267058365,359957.59945971076,363782.4006050783,364352.19339906576,361871.0956198173
AGO,F,d0,2131891.321308841,2202542.569176123,2265982.9893418634,2321944.888281394,2371216.519533595,2414997.54027784,2453262.396745047,2486390.5153230247,2516506.345710081,2549596.529861642
AGO,F,d10,1313283.9873477698,1361181.913610393,1414011.1912649486,1474610.1455814,1546017.6910506622,1631294.2213344346,1726778.5740272584,1828123.7842035885,1930288.650075656,2027454.2803955576
AGO,F,d15,1137284.2498555528,1173380.0849472554,1212203.0071200116,1253150.7009079214,1295474.7602066144,1338432.9504661944,1384117.4885445533,1435269.3041604245,1494913.4521301007,1565996.2351364354
AGO,F,d20,1028545.8913406864,1062004.1427953837,1091255.9809860254,1118601.8084441128,1146689.8576745498,1178296.4088506256,1213412.2170447626,1251435.135811628,1291629.3315989007,1333182.9310557132
AGO,F,d25,823906.4617264634,867703.4398295918,916709.2051228232,967068.4438126944,1014529.3941132026,1054410.0093010068,1087555.5952669096,1116002.7097834535,1142400.263412325,1169617.152716921
AGO,F,d30,712772.7487314139,727972.1947474948,740837.8935971977,755565.9141313834,777181.4626790909,810972.784720406,853967.063109833,902421.7669275168,952208.3113948908,999038.907660184
AGO,F,d35,576641.6433243006,611934.7850848202,648869.5461455596,684329.1103085775,714532.6168248437,735226.700484522,749308.0377051173,760674.5874100039,773979.5522887497,794453.6699403159
AGO,F,d40,455186.4277875135,469348.6593247894,486020.844925927,506124.48241560784,530935.8819416658,561995.3605539744,597185.8980064371,633739.2510947518,668454.5221464388,697665.5503599294
